term,mean_tfidf
anteriores,0.003980372481849205
gobernador,0.003978827893451511
libre,0.003973317265959464
largo,0.003962929956106499
moral,0.00396200377713001
casi,0.003959677619886957
interesado,0.003959259990063071
recursos,0.003958317416809419
deseos,0.003957437995392284
coronel ibañez,0.003947925273518958
envío,0.003944957035658934
rodríguez,0.003944115348725702
familias,0.003944085373300624
importante,0.003939722006638211
hijo,0.0039393814756325035
protesta,0.003935898529105572
instituciones democráticas,0.003933818190884481
hablado,0.003932414560337394
capitán gómez,0.0039274224265244
conclusiones,0.003925327540446865
barcelona,0.0039205789266780295
comandante infantería,0.003911824762424482
texto,0.003907871658156728
fuente,0.003904019280583454
grandes,0.003899352569621408
ruego,0.0038992820369767433
francisco,0.0038963154994995247
terrorismo,0.0038920603673461315
tratar,0.003885515731842839
extensión,0.003880923674848326
noviembre,0.0038786185926533933
momentos,0.0038769642101194072
previsto,0.0038749880672342696
sean,0.0038734927859661234
maría,0.0038721249524832613
dtor,0.0038699522476026596
new,0.003867509794917516
oral consejo,0.003864656790369766
noticias,0.0038644511900009625
libre absolución,0.0038640819258873096
anteriormente,0.003848543489578674
actos,0.003846887657389745
españolas,0.00384535300965275
dias,0.003843200809693514
informaciones,0.0038421756261206633
camilo,0.003840331290615657
aguilar,0.003839225595537331
ncia,0.003833895109208856
mismas,0.003824539854128593
diversas,0.0038180400325247997
estimaciones,0.003809807967029045
estimaciones desarrollo,0.003809807967029045
incidencias estimaciones,0.003809807967029045
muñoz,0.0038048086135372763
instructor causa,0.0038046986994700813
confianza,0.003803611629177371
quedado,0.0038034869936229296
disciplina,0.0038011796251243043
querido,0.0037941287712271606
rumor,0.0037851737409421325
problemas,0.003781837355384235
sesion correspondiente,0.0037798947149467288
segura,0.003779584655045533
realizar,0.0037763874579451614
tte general,0.0037698950267703235
penas,0.0037630247055588503
abogados,0.0037615917110931825
operaciones,0.00376045147351484
jaime milans,0.003759136009853819
bobis,0.003758044923131941
tte coronel,0.003752501823984859
mayoría,0.003745399583095581
dejado,0.003741701314528692
pasa,0.003738508286016556
causa instruye,0.0037354328788464595
ilmo,0.003734094268501701
patria,0.0037337819253626865
ucd,0.003732329206581117
cuartel general,0.003732268725928971
quintana,0.0037263135853712595
tienen,0.0037242222618425846
medios comunicación,0.0037233615306164823
jeme,0.003719250243551649
ortiz,0.003713858694267848
bosch ussia,0.003711841277584678
ussia,0.003711841277584678
respeto,0.0037092306231824236
gonzález,0.0037083682612972083
almenta,0.0037078836012946993
declarante,0.0036973431594281964
sánchez,0.0036911161440144136
dio,0.003690634099312811
